CATEGORY,HEADLINE,AUTHORS,LINK,SHORT_DESCRIPTION,DATE
POLITICS,"Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150,000 Females A Year’",Jennifer Bendery,https://www.huffingtonpost.com/entry/wendy-vitter-abortion-trump-judge_us_5afd8918e4b06a3fb50e5c68,Every Republican on the judiciary committee voted for Wendy Vitter.,2018-05-24
POLITICS,Rudy Giuliani: Trump Won't Interview With Mueller Until We Get ‘Spygate’ Report,S.V. Date,https://www.huffingtonpost.com/entry/trump-giuliani-north-korea-mueller_us_5b06f625e4b05f0fc8460d6b,The canceled North Korea summit doesn’t mean the president will be talking to the special counsel anytime soon.,2018-05-24
POLITICS,Kentucky Attorney Running For Judge Dies 1 Day After Primary Win,Nina Golgowski,https://www.huffingtonpost.com/entry/judge-candidate-danny-alvarez-dies_us_5b06aee4e4b05f0fc84557c3,"Danny Alvarez, a married of father of three, was vying for Jefferson County District Court judge in Louisville.",2018-05-24
POLITICS,Chrissy Teigen Taunts Donald Trump Over Twitter Blocking Ruling,Lee Moran,https://www.huffingtonpost.com/entry/chrissy-teigen-donald-trump-twitter-blocked_us_5b066140e4b07c4ea104cd97,"Other tweeters, including Mexico's former president Vicente Fox, also poked fun at Trump over the news.",2018-05-24
POLITICS,The Koch Network Is Going After One Of Trump’s Favorite Congressmen,Kevin Robillard,https://www.huffingtonpost.com/entry/koch-brothers-going-after-trump-favorite-congressmen_us_5b05a75ae4b07c4ea10458f8,The billionaire Koch brothers’ political network wants to show it will punish Republicans who don’t support its agenda.,2018-05-24
SPORTS,Trump Posthumously Pardons Boxer Jack Johnson,Lydia O'Connor,https://www.huffingtonpost.com/entry/trump-pardons-late-boxing-champion-jack-johnson_us_5b06eea4e4b07c4ea10630c8,The pardoning of the black heavyweight boxer is only the third posthumous pardon in U.S. history.,2018-05-24
ENTERTAINMENT,Ellen Tears Up When Ashton Kutcher Donates $4 Million To Her Wildlife Fund,Andy McDonald,https://www.huffingtonpost.com/entry/ellen-tears-up-ashton-kutcher-donates-4-million_us_5b06e8cce4b07c4ea10625b7,She even got to personally push the button to transfer the funds.,2018-05-24
ENTERTAINMENT,Ariana Grande Reveals Bee Tattoo In Honor Of The Manchester Attack,Elyse Wanshel,https://www.huffingtonpost.com/entry/ariana-grande-reveals-bee-tattoo-in-honor-of-the-manchester-attack_us_5b05ca75e4b05f0fc84443dd,The bee is the symbol of the city and is incorporated into the Manchester coat of arms.,2018-05-24
ENTERTAINMENT,"Kim Kardashian Wished Kanye West A Happy Anniversary And, Fine, It's Pretty Cute",Cole Delbyck,https://www.huffingtonpost.com/entry/kim-kardashian-wished-kanye-west-happy-anniversary_us_5b06ed58e4b05f0fc845ff3f,"""4 years down and forever to go....""",2018-05-24
ENTERTAINMENT,Chris Hemsworth Dances 'Wrecking Ball' With His Kids In The Living Room,Andy McDonald,https://www.huffingtonpost.com/entry/chris-hemsworth-dances-wrecking-ball-with-his-kids-in-the-living-room_us_5b06b81ae4b0784cd2b2192e,What a god.,2018-05-24
ENTERTAINMENT,Moses Farrow Defends Woody Allen And Accuses Mia Farrow Of Abuse,Ron Dicker,https://www.huffingtonpost.com/entry/moses-farrow-mia-farrow-abuse_us_5b0681ace4b07c4ea10510c2,"Dylan Farrow called her brother's essay ""beyond hurtful"" and ""easily disproven.""",2018-05-24
ENTERTAINMENT,Gwyneth Paltrow Says Brad Pitt Threatened To Kill Harvey Weinstein,Cole Delbyck,https://www.huffingtonpost.com/entry/gwyneth-paltrow-says-brad-pitt-threatened-to-kill-harvey-weinstein_us_5b06b96be4b07c4ea105a122,"The film producer allegedly made advances on her years ago, but her then-boyfriend made sure it didn't happen again.",2018-05-24
ENTERTAINMENT,Stephen King Reveals Why Donald Trump Blocked Him On Twitter,Ed Mazza,https://www.huffingtonpost.com/entry/stephen-king-donald-trump-twitter-block_us_5b066b6ce4b07c4ea104e231,"The horror master also took on ""creepy"" Mike Pence: ""He has that look.""",2018-05-24
ENTERTAINMENT,Fans Back Jessica Walter After She Addressed Verbal Harassment By Jeffrey Tambor,Jenna Amatulli,https://www.huffingtonpost.com/entry/fans-support-jessica-walter-after-she-addressed-verbal-harassment-from-jeffrey-tambor_us_5b06fa2de4b07c4ea1064378,"""We should be grieving with Jessica Walter. That shouldn't have happened to her.""",2018-05-24
ENTERTAINMENT,Jessica Walter Discusses Jeffrey Tambor's Alleged Harassment While Male Co-Stars Brush It Off,Antonia Blumberg,https://www.huffingtonpost.com/entry/jessica-walter-jeffrey-tambor-harassment_us_5b05e5e3e4b05f0fc84460e5,"""In like almost 60 years of working, I’ve never had anybody yell at me like that on a set,"" the actress said.",2018-05-24
ENTERTAINMENT,Harvey Weinstein Expected To Turn Himself In To The NYPD For Sex Crimes,Sara Boboltz,https://www.huffingtonpost.com/entry/harvey-weinstein-plans-to-turn-himself-in-friday_us_5b07121ee4b07c4ea10666d1,Authorities in New York have been investigating the former producer for alleged sexual abuse and harassment.,2018-05-24
COMEDY,Samantha Bee Torches ICE: 'Let's Shut It The F**k Down',Lee Moran,https://www.huffingtonpost.com/entry/samantha-bee-ice-donald-trump_us_5b065a91e4b05f0fc8448e14,"""I’m serious. It’s awful. And we don’t actually need it.""",2018-05-24
POLITICS,Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men ‘Property Rights’ Over Fetuses,Alexander C. Kaufman,https://www.huffingtonpost.com/entry/scott-pruitt-abortion_us_5b06ce55e4b05f0fc845a4aa,"Before he was Trump's embattled EPA chief, Pruitt was a state politician who backed draconian abortion restrictions.",2018-05-24
POLITICS,Twitter Critics Mercilessly Mock Trump For Canceling Summit With Kim,David Moye,https://www.huffingtonpost.com/entry/twitter-mocks-trump-summit-cancellation_us_5b06e058e4b07c4ea10612b2,"""Pot meet kettle.""",2018-05-24
POLITICS,Civil Rights Groups Rip Senate Bill Revising Its Own Sexual Harassment Policy,Jennifer Bendery,https://www.huffingtonpost.com/entry/civil-rights-groups-senate-bill-sexual-harassment-policy_us_5b0714e3e4b07c4ea1066816,"The bill would let lawmakers hide past offenses and only be punished for ""severe or pervasive"" harassment, the ACLU said.",2018-05-24
POLITICS,Alabama Sues To Exclude Undocumented Immigrants From Census Count,Sam Levine,https://www.huffingtonpost.com/entry/alabama-census-undocumented-immigrants_us_5b07028ee4b05f0fc84629a7,Legal experts say the suit has some big flaws.,2018-05-24
POLITICS,Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement,Willa Frej,https://www.huffingtonpost.com/entry/cynthia-nixon-keep-fighting-governor-andrew-cuomo_us_5b067660e4b07c4ea104f93d,She plans to get the required number of petition signatures to make it onto the ballot.,2018-05-24
POLITICS,White House Officials Reportedly Considered Just 'Ignoring' New Climate Research,Dominique Mosbergen,https://www.huffingtonpost.com/entry/white-house-ignore-climate-research-report_us_5b066bf7e4b07c4ea104e2a7,An internal memo obtained by The Washington Post offers a glimpse into the challenges faced by the Trump administration on the issue of climate change.,2018-05-24
POLITICS,Read Trump's Letter To Kim Jong Un Canceling North Korea Summit,Ryan Grenoble,https://www.huffingtonpost.com/entry/read-trumps-letter-to-kim-jong-un-canceling-north-korea-summit_us_5b06d3e7e4b0784cd2b2658c,"Basically: ""It's not me, it's you.""",2018-05-24
WORLD NEWS,South Korea Responds To Trump's Sudden Cancellation Of Kim Jong Un Summit,Willa Frej,https://www.huffingtonpost.com/entry/south-korea-react-trump-canceling-north-korea-summit_us_5b06cb44e4b0784cd2b244c0,"""We are attempting to make sense of what, precisely, President Trump means.""",2018-05-24
POLITICS,Facebook's New Ad Rules Prove It's Basically In Charge Of Regulating Elections Now,Paul Blumenthal,https://www.huffingtonpost.com/entry/facebook-ad-disclosure_us_5b070d61e4b05f0fc8463453,"Sure, this seems like the kind of thing a private company should be in charge of. Welcome to the Facebook Election Commission.",2018-05-24
POLITICS,Border Agent Fatally Shoots Migrant Woman In Texas,Roque Planas and Elise Foley,https://www.huffingtonpost.com/entry/border-agent-fatally-shoots-migrant-woman-in-texas_us_5b0706a1e4b0784cd2b2d714,“Why did you shoot at the girl? You killed her!” a bystander asks in viral video that shows the aftermath of the shooting.,2018-05-24
POLITICS,Trump Opens Door For U.S. Gun Industry To Sell More Firearms Abroad,Travis Waldron and Nick Wing,https://www.huffingtonpost.com/entry/trump-opens-door-us-gun-industry-sell-firearms-abroad_us_5b071e1ce4b0784cd2b2e65f,Senators and human rights groups worry the proposed rule changes will export the U.S. gun violence epidemic.,2018-05-24
POLITICS,'Stormy Daniels Day' Declared In West Hollywood As Adult Star Gets Key To City,Nina Golgowski,https://www.huffingtonpost.com/entry/stormy-daniels-day-proclaimed_us_5b05adfbe4b0784cd2b0d414,"The California city recognized her as a “national figure in the resistance to the Trump Administration.""",2018-05-24
IMPACT,You're Going To Use That Self-Checkout Machine Whether You Like It Or Not,Dave Jamieson,https://www.huffingtonpost.com/entry/youre-going-to-use-that-self-checkout-machine-whether-you-like-it-or-not_us_5b05ada4e4b05f0fc84428a5,"We may not realize it, but retailers are conditioning us to be our own cashiers.",2018-05-24
TRAVEL,"14 Ways To Make Family Road Trips Easier, From Parents Who've Been There",Taylor Pittman,https://www.huffingtonpost.com/entry/family-road-trips-tips-tricks_us_5b06a2bce4b0784cd2b1f50a,Having waterproof covers on the seats is kind of brilliant.,2018-05-24
MEDIA,Jake Tapper Shreds Donald Trump With A Long List Of His Conspiracy Theories,Lee Moran,https://www.huffingtonpost.com/entry/jake-tapper-donald-trump-conspiracy-theories_us_5b06598de4b05f0fc8448d0c,"""I could go on, but this is just an hour show.""",2018-05-24
MEDIA,New York Daily News Rips NFL Over Anthem Kneeling Ban,Lee Moran,https://www.huffingtonpost.com/entry/new-york-daily-news-nfl-flag-cover_us_5b0672dde4b07c4ea104f25d,"""NFL DISHONORS THE FLAG""",2018-05-24
POLITICS,A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?,Elise Foley,https://www.huffingtonpost.com/entry/immigrant-detention-courts_us_5b0725f0e4b0802d69c958d3,The Supreme Court will likely have to determine whether indefinite detention without a bond hearing violates the Constitution.,2018-05-24
POLITICS,House Democrats Offer Internships For Students Affected By Gun Violence,Antonia Blumberg,https://www.huffingtonpost.com/entry/house-democrats-announced-internship-for-students-impacted-by-gun-violence_us_5b06ee0fe4b05f0fc846005f,"“It’s important that we learn from their experience.""",2018-05-24
QUEER VOICES,Tig Notaro Tells Ellen DeGeneres About Her Sons' Passion For Trash,Curtis M. Wong,https://www.huffingtonpost.com/entry/tig-notaro-ellen-degeneres_us_5b06f9cce4b07c4ea1064241,"The comedian also ""can't wait"" to play Jennifer Aniston's wife on ""First Ladies.""",2018-05-24
QUEER VOICES,Stormy Daniels Thanks ‘Wonderful Gay Dads’ As West Hollywood Hands Her Keys To City,"INTO, Editorial Partner",https://www.huffingtonpost.com/entry/stormy-daniels-thanks-wonderful-gay-dads-as-west_us_5b06e152e4b0ce1c4984ef81,"West Hollywood has also reaffirmed its commitment to being a sanctuary city, opposing the administration’s enforcement of extreme immigration laws.",2018-05-24
QUEER VOICES,Can You Believe? Queer Eye Season 2 Drops Next Month,Jenna Amatulli,https://www.huffingtonpost.com/entry/queer-eye-season-two-dates_us_5b06dadee4b07c4ea10605d8,It's slated to hit Netflix on June 15th.,2018-05-24
QUEER VOICES,Gay Man Denied Marriage License By Kim Davis Loses Bid To Unseat Her,Curtis M. Wong,https://www.huffingtonpost.com/entry/david-ermold-kim-davis-primary-loss_us_5b05b6e5e4b0784cd2b0de4f,"Despite support from Amy Schumer and Susan Sarandon, David Ermold won't challenge Davis this fall.",2018-05-24
SPORTS,Anna Kournikova Dancing With Her Bouncing Baby Is The Cutest Thing,Ron Dicker,https://www.huffingtonpost.com/entry/anna-kournikova-dancing-baby_us_5b06d0c9e4b0784cd2b25d63,The score is love-love.,2018-05-24
SPORTS,Trump Says NFL Players Unwilling To Stand For Anthem Maybe 'Shouldn't Be In The Country',Doha Madani and Willa Frej,https://www.huffingtonpost.com/entry/trump-nfl-kneeling-anthem-rule_us_5b05cbf4e4b05f0fc84445c6,"""I don’t think people should be staying in locker rooms,"" Trump told Fox News. ""You have to stand proudly for the national anthem or you shouldn’t be playing.""",2018-05-24
TECH,Facebook Accused Of Reading Texts And Accessing Microphones In Lawsuit,Sara Boboltz,https://www.huffingtonpost.com/entry/facebook-allegations-reading-texts-accessing-microphones_us_5b06c226e4b07c4ea105b154,A failed startup suggested that Facebook mounted what could be described as mass surveillance.,2018-05-24
TECH,Self-Driving Uber In Fatal Accident Had 6 Seconds To React Before Crash,Ryan Grenoble,https://www.huffingtonpost.com/entry/self-driving-uber-ntsb-report_us_5b06df0be4b05f0fc845e16a,The NTSB published a preliminary report on the incident Thursday.,2018-05-24
WEIRD NEWS,Amazon Admits Alexa Device Eavesdropped On Portland Family,David Moye,https://www.huffingtonpost.com/entry/alexa-eavesdropping-portland-familiy_us_5b0727cae4b0fdb2aa51b23e,“Unplug your Alexa devices right now. You’re being hacked.”,2018-05-24
WEIRD NEWS,Man Discovers Handgun Impaled In Front Bumper Of Car,David Moye,https://www.huffingtonpost.com/entry/handgun-impaled-car-bumper_us_5b073b16e4b0fdb2aa51d109,The driver kept going after a mysterious object struck his car.,2018-05-24
